/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_13.png -55.852734 -8.351499 -3.247748 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_14.png -51.739745 -8.236492 -3.396100 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_15.png -52.651792 -7.356803 -3.025692 [542.608582, 242.718506]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_16.png -51.988757 -4.068059 -2.023081 [521.602966, 232.277466]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_17.png -53.741529 -3.976084 -1.288577 [498.060333, 229.822723]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_18.png -53.364891 -3.642361 -0.612216 [495.754614, 230.229927]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_19.png -53.150190 -3.743081 -0.517332 [436.575195, 246.906937]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_21.png -49.072977 -5.248383 -0.627575 [429.966776, 248.771909]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_22.png -36.631672 -6.426123 -0.905498 [430.018251, 248.757409]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_23.png -23.112083 -5.588897 -0.905249 [430.025131, 248.755468]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_24.png -11.882485 -4.432364 -0.616045 [430.025373, 248.755399]
