/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_34.png -136.873508 -3.602094 4.505701 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_35.png -137.681874 -4.190315 4.539597 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_36.png -138.333509 -4.465298 4.940025 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_37.png -138.392686 -5.316853 5.057782 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_38.png -137.119741 -5.518803 4.380363 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_39.png -137.313024 -4.460183 3.821768 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_40.png -139.765115 -4.211115 4.308180 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_41.png -143.643748 -4.277153 4.895469 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_42.png -148.293530 -5.687947 5.531778 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_43.png -154.717681 -5.957349 6.094550 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_44.png -159.216882 -6.035344 6.977012 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_45.png -163.740369 -4.780068 6.451012 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_46.png -165.972937 -4.185241 5.778446 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_47.png -169.926008 -3.175455 4.568099 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_48.png -173.530036 -1.315450 2.878894 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_49.png -176.123853 -1.328212 2.640459 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_50.png 178.566793 -1.942594 1.711522 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_51.png 175.578345 -4.521341 1.062225 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_52.png 174.587909 -7.179895 0.988025 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_53.png 174.503376 -10.653179 0.535199 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_54.png 172.391268 -11.257330 -0.626185 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_55.png 167.301295 -9.509032 -0.396179 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_56.png 170.049751 -13.759700 -0.321944 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_57.png 172.587702 -16.575199 0.934906 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_58.png 169.202382 -17.658943 2.457568 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_59.png 171.151386 -19.515476 2.896130 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_60.png 172.004998 -21.013722 3.575662 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_61.png 173.514699 -21.891469 2.636100 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_62.png 174.221173 -22.302027 1.092069 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_63.png 174.458006 -22.975109 0.371142 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-17-51/img/image_64.png 172.589774 -22.669047 0.977907 [550.0, 300.0]
