/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_7.png -176.527205 -27.308330 -1.024729 [558.221558, 251.800049]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_8.png -178.997247 -30.974244 0.499112 [513.678528, 231.911392]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_9.png -178.175802 -35.210321 1.550872 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_10.png -178.548162 -37.865371 0.826705 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_11.png -174.885965 -41.807431 -0.236472 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_12.png -174.865030 -38.416546 0.758501 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_13.png -176.684397 -26.115484 1.076276 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_14.png -177.236301 -6.675729 -0.318102 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_16.png -164.841683 -3.996658 -2.025631 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_17.png -151.282919 -2.393840 -3.110337 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_18.png -141.888032 0.179546 -3.017408 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_19.png -135.328926 0.432376 -2.800519 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_20.png -133.618228 1.880737 -1.476021 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_21.png -135.621680 1.828865 -2.063704 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_22.png -140.337511 0.778943 -2.352816 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_23.png -144.884547 -1.310808 -1.998908 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_24.png -150.762303 -1.336425 -1.818684 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_25.png -159.237540 -2.301175 -2.485047 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_26.png -170.774460 -7.270219 -2.446465 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-20/img/image_27.png -179.117656 -15.279207 -1.207872 [550.0, 300.0]
