/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_21.png -149.995373 -16.011237 -3.662690 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_22.png -148.448349 -14.190362 -2.369699 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_23.png -147.607889 -12.486314 -1.774009 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_24.png -148.166576 -9.644514 -1.409879 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_25.png -148.668498 -9.210084 -0.135637 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_26.png -145.835959 -8.458459 0.401316 [493.416687, 247.496597]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_27.png -145.583337 -9.525420 -0.414441 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_28.png -143.843729 -9.424794 -1.715702 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_29.png -141.786605 -8.890315 -3.244972 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_30.png -140.189974 -9.850669 -4.240923 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_31.png -136.430622 -11.064888 -5.062316 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_32.png -134.465765 -15.065963 -4.767988 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_33.png -129.493855 -17.458137 -4.834983 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_34.png -126.221445 -20.282633 -3.924529 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-03/img/image_35.png -125.802278 -23.872862 -2.588867 [550.0, 300.0]
