/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_13.png -96.433468 -1.685060 1.241750 [584.040833, 219.763428]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_14.png -95.802196 -1.597281 0.232484 [555.774231, 209.618378]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_15.png -94.944236 -1.334749 0.269921 [531.240906, 202.120468]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_16.png -90.262170 -0.608445 -0.983063 [512.021057, 207.952988]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_17.png -76.865524 0.049122 -0.534250 [507.843373, 197.827816]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_18.png -64.263301 0.163366 -1.102074 [507.763618, 197.634518]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_19.png -55.062415 -0.787887 1.248432 [507.796621, 197.714506]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_20.png -52.376342 -2.016013 3.898719 [507.801049, 197.725238]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_24.png -61.617411 -2.131967 5.974216 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_25.png -65.488991 -1.641141 5.623441 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_26.png -71.258813 -0.321621 5.636512 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_27.png -78.185943 1.097433 4.895247 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_28.png -88.350319 1.215157 4.601028 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_29.png -101.787700 3.019914 4.601608 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_30.png -110.434298 4.495443 4.979916 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_31.png -120.012039 4.723303 5.954968 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_32.png -131.936476 5.636251 5.483345 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_33.png -139.689087 4.610046 5.888853 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_34.png -147.169480 3.826461 5.981710 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_35.png -148.593076 4.575171 5.992693 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_36.png -149.534779 4.846139 5.234491 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_37.png -149.662972 3.560841 4.626321 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_38.png -152.975218 2.505073 3.483208 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_39.png -158.499450 0.663641 2.929912 [507.801175, 197.725542]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-10-50-58/img/image_40.png -162.318865 -0.079073 2.770235 [507.801175, 197.725542]
