/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_14.png -174.832918 -32.432078 -0.561777 [550.126831, 238.747314]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_15.png -177.183453 -34.665273 -0.291034 [499.485962, 248.545593]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_16.png -177.992572 -34.518210 0.492394 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_17.png -174.369995 -34.216241 -1.272129 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_18.png -174.700862 -33.965339 -1.291637 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_19.png -173.778672 -33.444148 -0.681012 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_20.png -171.923919 -32.242710 -0.415893 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_21.png -169.922860 -28.742603 1.557513 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_22.png -161.430008 -23.547755 3.798849 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_23.png -147.691768 -19.693649 2.654226 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_24.png -137.653704 -16.835997 3.388996 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_25.png -126.371535 -16.979929 3.589143 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_26.png -118.480070 -19.345768 2.366380 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_27.png -113.254781 -23.922491 0.636420 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_28.png -114.441598 -35.358676 1.006366 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_29.png -103.929358 -26.279899 2.379986 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_30.png -100.098738 -21.009144 2.636702 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_33.png -55.718626 9.802006 3.921504 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_42.png -53.413779 10.543629 3.753483 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_43.png -56.745472 10.074555 3.273653 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_49.png -56.852422 9.629044 3.684056 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_50.png -56.693075 9.651794 5.801468 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_51.png -56.907148 9.348174 5.605515 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_52.png -56.592812 8.875156 5.003693 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_53.png -57.802783 8.383688 4.955816 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_54.png -62.610034 8.226818 4.770674 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_58.png -62.693577 7.288543 5.293427 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_59.png -34.300479 -15.358622 2.391586 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_60.png -29.906266 -21.508634 1.816013 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_61.png -23.938844 -30.639394 -0.417812 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_64.png -16.432888 -37.672593 -2.700179 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_65.png -16.198336 -39.547348 -1.490127 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_66.png -15.122599 -38.562772 -1.237181 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_67.png -18.543789 -36.572786 2.458722 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_68.png -17.267250 -38.090833 3.168263 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_69.png -14.639824 -40.594945 2.644139 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_71.png -13.432453 -42.575942 3.163078 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_72.png -10.950403 -45.024356 2.406755 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_73.png -11.339405 -45.869317 3.569612 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_74.png -10.179600 -45.292623 3.876374 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_75.png -6.598113 -45.465865 2.568561 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_76.png -7.826573 -41.352618 3.785772 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_77.png -12.164430 -34.962402 3.914212 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_78.png -30.972253 -23.020752 8.699434 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_79.png -44.946533 -12.660003 10.507977 [468.467316, 342.819153]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_80.png -61.884438 -3.478707 9.985653 [471.478424, 344.736847]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_81.png -80.307462 4.286727 10.864198 [476.015717, 349.867188]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_82.png -97.934830 10.745884 10.311688 [467.911743, 343.281891]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_83.png -113.206734 14.495750 10.649655 [461.408569, 344.403961]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_84.png -127.887046 16.578915 8.566520 [460.77426, 344.593242]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_85.png -136.815704 16.174349 6.841981 [433.983429, 347.083618]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_86.png -140.251505 14.561241 5.824373 [431.042781, 347.355667]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_87.png -140.900301 8.740092 4.125535 [396.601227, 345.145935]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_88.png -143.511575 6.928229 3.825828 [397.139465, 341.188843]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_89.png -147.180986 7.042899 2.759854 [397.543087, 340.77566]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_90.png -144.510592 6.919493 2.617827 [399.271027, 327.677795]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_91.png -145.127598 5.207984 2.085527 [394.639679, 314.627899]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_92.png -147.572413 5.640248 1.892921 [386.398102, 302.755554]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_93.png -150.721467 7.190926 1.113293 [376.609985, 285.289825]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_94.png -149.073245 7.320249 1.818470 [375.615708, 283.487319]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_95.png -141.168012 8.573481 2.531655 [375.604219, 283.4637]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_96.png -117.567279 8.515149 2.804114 [375.612898, 283.479127]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_97.png -88.800259 7.079763 3.689620 [315.613129, 251.102783]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_98.png -65.826885 7.177594 3.813226 [315.137817, 249.667206]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_99.png -33.900008 5.144888 5.698992 [319.392151, 247.138336]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_100.png -10.370418 5.271917 5.078642 [319.864881, 246.874516]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_101.png 4.953108 7.235449 5.174504 [319.874338, 246.870785]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_102.png 23.144511 11.577270 5.004791 [307.900238, 249.177734]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_103.png 33.232816 6.274660 5.072880 [303.577057, 250.086517]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_104.png 31.919353 3.134310 3.872630 [303.221248, 250.163414]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_106.png 29.484256 2.024645 4.369062 [326.199951, 262.47049]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_107.png 32.776047 -1.953812 4.307317 [346.534607, 261.990326]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_108.png 30.618224 -3.308217 4.462269 [348.541673, 261.814431]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_109.png 28.850407 -6.753827 5.888616 [348.559104, 261.799884]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_110.png 20.057678 -14.038587 6.512377 [348.54095, 261.800043]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_111.png 19.590412 -22.094605 8.522100 [348.538779, 261.800206]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-28-08/img/image_112.png 16.924242 -26.172602 9.993208 [389.282623, 288.607635]
